"codigo";"nome";"descricao";"mnemonico";"tipo";"itemexame";"sr_recno"
127.0;Absoluto Monócitos;HEMOGRAMA COMPLETO;ABSMON;-;1;149
131.0;COAGULOGRAMA;COAGULOGRAMA;COAG;BIOQUÍMICA;0;150
131.0;TP - Tempo de protrombina;COAGULOGRAMA;COAGTP;BIOQUÍMICA;1;151
131.0;Atividade de protrombina;COAGULOGRAMA;COAGAP;BIOQUÍMICA;1;152
131.0;RNI;COAGULOGRAMA;COAGRNI;BIOQUÍMICA;1;153
131.0;TTPA - Tempo de Tromboplastina Parcial Ativada;COAGULOGRAMA;COAGTTPA;BIOQUÍMICA;1;154
131.0;Plaquetas;COAGULOGRAMA;COAGTTPLA;BIOQUÍMICA;1;155
132.0;Teste Rápido para HIV I/II;TESTE RÁPIDO PARA DETECÇÃO DE HIV;TRHIV;;0;156
132.0;Resultado;TESTE RÁPIDO PARA DETECÇÃO DE HIV;TRHIVRES;;1;157
132.0;Validade;TESTE RÁPIDO PARA DETECÇÃO DE HIV;TRHIVVAL;;1;158
132.0;Lote;TESTE RÁPIDO PARA DETECÇÃO DE HIV;TRHIVLOT;;1;159
132.0;Fabricante;TESTE RÁPIDO PARA DETECÇÃO DE HIV;TRHIVFAB;;1;160
133.0;Teste Rápido para Hepatite B (HBsAg);TESTE RÁPIDO PARA DETECÇÃO HEPATITE B (HBsAg);TRHB;;0;161
133.0;Resultado;TESTE RÁPIDO PARA DETECÇÃO HEPATITE B (HBsAg);TRHBRES;;1;162
133.0;Validade;TESTE RÁPIDO PARA DETECÇÃO HEPATITE B (HBsAg);TRHBVAL;;1;163
133.0;Lote;TESTE RÁPIDO PARA DETECÇÃO HEPATITE B (HBsAg);TRHBLOT;;1;164
133.0;Fabricante;TESTE RÁPIDO PARA DETECÇÃO HEPATITE B (HBsAg);TRHBFAB;;1;165
134.0;Teste Rápido para Hepatite C (HCV);TESTE RÁPIDO PARA DETECÇÃO HEPATITE C (HCV);TRHC;;0;166
134.0;Resultado;TESTE RÁPIDO PARA DETECÇÃO HEPATITE C (HCV);TRHCBRES;;1;167
134.0;Validade;TESTE RÁPIDO PARA DETECÇÃO HEPATITE C (HCV);TRHCBVAL;;1;168
134.0;Lote;TESTE RÁPIDO PARA DETECÇÃO HEPATITE C (HCV);TRHCBLOT;;1;169
134.0;Fabricante;TTESTE RÁPIDO PARA DETECÇÃO HEPATITE C (HCV);TRHCBFAB;;1;170
135.0;Teste Rápido para Sífilis Treponêmico;TESTE RÁPIDO PARA DETECÇÃO DE SÍFILIS TREPONÊMICO;TRST;;0;171
135.0;Resultado;TESTE RÁPIDO PARA DETECÇÃO DE SÍFILIS TREPONÊMICO;TRSTRES;;1;172
135.0;Amostra;TESTE RÁPIDO PARA DETECÇÃO DE SÍFILIS TREPONÊMICO;TRSTVAL;;1;173
135.0;Controle;TESTE RÁPIDO PARA DETECÇÃO DE SÍFILIS TREPONÊMICO;TRSTFAB;;1;174
136.0;Baciloscopia para Tuberculose (BK);BACILOSCOPIA PARA TUBERCULOSE (BK);BATU;;0;175
136.0;Resultado;BACILOSCOPIA PARA TUBERCULOSE (BK);BATURES;;1;176
136.0;Amostra;BACILOSCOPIA PARA TUBERCULOSE (BK);BATUAMO;;1;177
136.0;Controle;BACILOSCOPIA PARA TUBERCULOSE (BK);BATUCON;;1;178
137.0;Cultura para Tuberculose;CULTURA PARA TUBERCULOSE;CUTU;;0;179
137.0;Resultado;CULTURA PARA TUBERCULOSE;CUTURES;;1;180
137.0;Amostra;CULTURA PARA TUBERCULOSE;CUTUAMO;;1;181
137.0;Controle;CULTURA PARA TUBERCULOSE;CUTUMET;;1;182
138.0;Teste Rápido Molecular para Tuberculose (TRM-TB);TESTE RÁPIDO MOLECULAR PARA TUBERCULOSE (TRM-TB);TRMT;;0;183
138.0;DNA;TESTE RÁPIDO MOLECULAR PARA TUBERCULOSE (TRM-TB);TRMTDNA;;1;184
138.0;Rifampicina;TESTE RÁPIDO MOLECULAR PARA TUBERCULOSE (TRM-TB);TRMTRIFA;;1;185
138.0;Amostra;TESTE RÁPIDO MOLECULAR PARA TUBERCULOSE (TRM-TB);TRMTAMO;;1;186
139.0;Glicemia aos 30min;Teste de tolerância oral à glicose - Glicemia aos 30min;TOTG30M;BIOQUÍMICA;0;187
140.0;Glicemia aos 60min;Teste de tolerância oral à glicose - Glicemia aos 60min;TOTG60M;BIOQUÍMICA;0;188
141.0;Glicemia aos 120min;Teste de tolerância oral à glicose - Glicemia aos 120min;TOTG120M;BIOQUÍMICA;0;189
142.0;Troponina;DOSAGEM DE TROPONINA;TROP;BIOQUÍMICA;0;190
143.0;Velocidade de Hemossedimentação (VHS);DETERMINAÇÃO DE VELOCIDADE DE HEMOSSEDIMENTAÇÃO (VHS);VHS;;0;191
144.0;Coombs Direto;COOMBS DIRETO;COMBDIRE;;0;192
145.0;Coombs Indireto;COOMBS INDIRETO;COMBINDI;;0;193
146.0;Reticulócitos;CONTAGEM DE RETICULOCITOS;RET;;0;194
148.0;Colesterol Total;DOSAGEM DE COLESTEROL TOTAL;COLTOT;;0;195
149.0;PCR Látex;PCR Látex;PCRL;;0;196
150.0;Beta HCG Qualitativo;DOSAGEM DE GONADOTROFINA CORIONICA HUMANA (HCG,BETA HCG);GONCORBET;;0;197
208.0;Relação Proteinúria / Creatinina;RELAÇÃO PROTENÚRIA / CREATININA;PROCRE;Bioquímica;0;198
208.0;Proteinúria Parcila;RELAÇÃO PROTEINÚRIA / CREATININA;PROCREPA;-;1;199
208.0;Creatinina Urinária;RELAÇÃO PROTEINÚRIA / CREATININA;PROCRECU;-;1;200
208.0;Relação Proteína/Creatinina;RELAÇÃO PROTEINÚRIA / CREATININA;PROCRERE;-;1;201
211.0;GASOMETRIA ARTERIAL;GASOMETRIA ARTERIAL;GASO;Bioquímica;0;202
211.0;PH;GASOMETRIA ARTERIAL;GASOPH;Bioquímica;1;203
211.0;PCO2;GASOMETRIA ARTERIAL;GASOPCO;Bioquímica;1;204
211.0;PO2;GASOMETRIA ARTERIAL;GASOPO;Bioquímica;1;205
211.0;SO2;GASOMETRIA ARTERIAL;GASOSO;Bioquímica;1;206
211.0;CTHB;GASOMETRIA ARTERIAL;GASOCT;Bioquímica;1;207
211.0;FO2HB;GASOMETRIA ARTERIAL;GASOFO;Bioquímica;1;208
211.0;FCOHB;GASOMETRIA ARTERIAL;GASOFC;Bioquímica;1;209
211.0;FMETHB;GASOMETRIA ARTERIAL;GASOFM;Bioquímica;1;210
211.0;FHHB;GASOMETRIA ARTERIAL;GASOFH;Bioquímica;1;211
211.0;K+;GASOMETRIA ARTERIAL;GASOK;Bioquímica;1;212
211.0;NA+;GASOMETRIA ARTERIAL;GASONA;Bioquímica;1;213
211.0;CA2+ (ionizado);GASOMETRIA ARTERIAL;GASOCA;Bioquímica;1;214
211.0;GLICOSE;GASOMETRIA ARTERIAL;GASOGL;Bioquímica;1;215
211.0;LACTATO;GASOMETRIA ARTERIAL;GASOLAC;Bioquímica;1;216
211.0;HCO3-;GASOMETRIA ARTERIAL;GASOHCO;Bioquímica;1;217
211.0;EXCESSO DE BASE (BE);GASOMETRIA ARTERIAL;GASOBE;Bioquímica;1;218
211.0;ANION GAP;GASOMETRIA ARTERIAL;GASOANI;Bioquímica;1;219
211.0;HEMATÓCRITO (CALC);GASOMETRIA ARTERIAL;GASOHEM;Bioquímica;1;220
211.0;P50;GASOMETRIA ARTERIAL;GASOP50;Bioquímica;1;221
212.0;DOSAGEM DE LACTATO;DOSAGEM DE LACTATO;LAC;Bioquímica;0;222
212.0;NEONATOS;DOSAGEM DE LACTATO;LACNEO;Bioquímica;1;223
212.0;"03 a 10 DIAS";DOSAGEM DE LACTATO;LACDI;Bioquímica;1;224
212.0;MAIS DO QUE 10 DIAS;DOSAGEM DE LACTATO;LACMA;Bioquímica;1;225
212.0;PLASMA ARTERIAL;DOSAGEM DE LACTATO;LACPLASA;Bioquímica;1;226
212.0;PLASMA VENOSO;DOSAGEM DE LACTATO;LACPLASVE;Bioquímica;1;227
213.0;DOSAGEM DE CLORETO;DOSAGEM DE CLORETO;CLORETO;Bioquímica;0;228
214.0;TESTE RÁPIDO PARA ANTI-HIV EM PARCEIRO OU PARCERIA DE GESTANTE;TESTE RÁPIDO PARA ANTI-HIV EM PARCEIRO OU PARCERIA DE GESTANTE;TRHIVP;Microbiologia;0;229
215.0;TESTE RÁPIDO PARA ANTI-HIV EM GESTANTE;TESTE RÁPIDO PARA DETECÇÃO DE ANTICORPOS ANTI-HIV EM GESTANTE;TRHIVG;Microbiologia;0;230
217.0;RELAÇÃO PROTEINA/CREATININA;RELAÇÃO PROTEINA/CREATININA;PROCREA;Bioquímica;0;231
217.0;Proteinúria Parcial;RELAÇÃO PROTEINA/CREATININA;PROCREAPP;Bioquímica;1;232
217.0;Creatinina Urinaria;RELAÇÃO PROTEINA/CREATININA;PROCREACU;Bioquímica;1;233
217.0;Relacao Proteina/Creatinina;RELAÇÃO PROTEINA/CREATININA;PROCREARPC;Bioquímica;1;234
218.0;GRUPO SANGUINEO E FATOR RH;DETERMINACAO DIRETA E REVERSA DE GRUPO ABO;GS/FRH;Imuno-hematológico;0;235
