code,complexity,sex_restriction,minimum_age_months,maximum_age_months,description
0604850026,I,I,216,1571,"BROMETO DE TIOTRÓPIO MONOIDRATADO 2,5 MCG + CLORIDRATO DE OLODATEROL 2,5 MCG (SOLUÇÃO PARA INALAÇÃO ORAL))"
0604850034,I,I,216,1571,"DIPROPIONATO DE BECLOMETASONA + FUMARATO DE FORMOTEROL DI-HIDRATADO + BROMETO DE GLICOPIRRÔNIO (SOLUÇÃO AEROSSOL CONTENDO 120 DOSES PARA INALAÇÃO ORAL DE 100 MCG+6MCG+12,5MCG)"
0604850042,I,I,216,1571,"FUROATO DE FLUTICASONA + BROMETO DE UMECLIDÍNIO + TRIFENATATO DE VILANTEROL (PÓ PARA INALAÇÃO ORAL CONTENDO 30 DOSES PARA INALAÇÃO ORAL DE 100 MCG + 62,5 MCG + 25 MCG)"
0604860013,I,I,72,1571,"IVACAFTOR 150 MG (POR COMPRIMIDO REVESTIDO)"
0604860021,I,I,72,1571,"ELEXACAFTOR 100 MG/TEZACAFTOR 50 MG/IVACAFTOR 75 MG + IVACAFTOR 150 MG (POR COMPRIMIDO REVESTIDO)"
0604860030,I,I,72,143,"ELEXACAFTOR 50 MG/TEZACAFTOR 25MG/IVACAFTOR 37,5 MG+IVACAFTOR 75 MG (POR COMPRIMIDO REVESTIDO)"
0604870019,I,I,12,1571,"BUROSUMABE 10 MG/MLSOLUÇÃO INJETÁVEL (FRASCO-AMPOLA)"
0604870027,I,I,12,1571,"BUROSUMABE 20 MG /ML SOLUÇÃO INJETÁVEL (FRASCO- AMPOLA)"
0604870035,I,I,12,1571,"BUROSUMABE 30 MG /ML SOLUÇÃO INJETÁVEL (FRASCO- AMPOLA)"
0604870043,F,F,216,1571,"ROMOSOZUMABE 90 MG/ML SOLUÇÃO INJETÁVEL (POR SERINGA PREENCHIDA DE 1,17 ML)"
0604880014,I,I,12,1571,"ROMIPLOSTIM 250 MCG PÓ PARA SOLUÇÃO INJETÁVEL (POR FRASCO)"
0701010010,I,I,24,1571,"ANDADOR FIXO / ARTICULADO EM ALUMÍNIO COM QUATRO PONTEIRAS."
0701010029,N,N,,,"CADEIRA DE RODAS ADULTO / INFANTIL (TIPO PADRÃO)"
0701010037,N,N,,,"CADEIRA DE RODAS PARA BANHO COM ASSENTO SANITÁRIO"
0701010045,N,N,,,"CADEIRA DE RODAS PARA TETRAPLÉGICO - TIPO PADRÃO"
0701010053,I,I,0,1571,"CALÇADOS ANATÔMICOS COM PALMILHAS PARA PÉS NEUROPÁTICOS (PAR)"
0701010061,N,N,,,"CALÇADOS ORTOPÉDICOS CONFECCIONADOS SOB MEDIDA ATÉ NÚMERO 45 (PAR)"
0701010070,N,N,,,"CALÇADOS ORTOPÉDICOS PRÉ-FABRICADOS COM PALMILHAS ATÉ NÚMERO 45 (PAR)"
0701010088,I,I,24,1571,"CALÇADOS SOB MEDIDA P/ COMPENSAÇÃO DE DISCREPÂNCIA DE MEMBROS INFERIORES A PARTIR DO NÚMERO 34"
0701010096,I,I,24,1571,"CALÇADOS SOB MEDIDA PARA COMPENSAÇÃO DE ENCURTAMENTO ATÉ NÚMERO 33 (PAR)"
0701010100,I,I,0,371,"CARRINHO DOBRÁVEL PARA TRANSPORTE DE CRIANÇA COM DEFICIÊNCIA"
0701010118,I,I,24,1571,"BENGALA CANADENSE REGULÁVEL EM ALTURA (PAR)"
0701010126,I,I,24,1571,"MULETA AXILAR REGULÁVEL DE MADEIRA (PAR)"
0701010134,I,I,24,1571,"MULETA AXILAR TUBULAR EM ALUMÍNIO REGULÁVEL NA ALTURA (PAR)"
